date,borough,events_count,borough_normalized_events,day_normalized_events,total_events_by_borough,total_events_by_day
2018-05-06,R,2,0.00022696323195642307,0.047619047619047616,8812,42
2014-05-06,B,2,0.00017362618282837052,0.043478260869565216,11519,46
2013-05-06,R,2,0.00022696323195642307,0.09090909090909091,8812,22
2019-05-05,B,2,0.00017362618282837052,0.4,11519,5
2017-05-05,B,2,0.00017362618282837052,0.09523809523809523,11519,21
2016-05-05,X,2,0.0001303780964797914,0.0625,15340,32
2013-05-05,X,2,0.0001303780964797914,0.043478260869565216,15340,46
2014-01-24,B,2,0.00017362618282837052,0.13333333333333333,11519,15
2014-01-24,Q,2,0.00018700327255726976,0.13333333333333333,10695,15
2018-05-04,B,2,0.00017362618282837052,0.09523809523809523,11519,21
2016-01-24,R,2,0.00022696323195642307,0.125,8812,16
2018-01-24,M,2,6.948787436592315e-05,0.18181818181818182,28782,11
2018-01-24,R,2,0.00022696323195642307,0.18181818181818182,8812,11
2013-03-30,B,2,0.00017362618282837052,0.07142857142857142,11519,28
2018-03-29,R,2,0.00022696323195642307,0.06896551724137931,8812,29
2016-01-18,R,2,0.00022696323195642307,0.3333333333333333,8812,6
2016-03-06,R,2,0.00022696323195642307,0.07142857142857142,8812,28
2016-02-17,B,2,0.00017362618282837052,0.125,11519,16
2013-03-06,R,2,0.00022696323195642307,0.18181818181818182,8812,11
2013-02-17,R,2,0.00022696323195642307,0.125,8812,16
2013-02-17,Q,2,0.00018700327255726976,0.125,10695,16
2014-03-06,R,2,0.00022696323195642307,0.13333333333333333,8812,15
2015-03-06,B,2,0.00017362618282837052,0.11764705882352941,11519,17
2017-03-06,X,2,0.0001303780964797914,0.5,15340,4
2018-02-17,R,2,0.00022696323195642307,0.03636363636363636,8812,55
2018-02-16,Q,2,0.00018700327255726976,0.043478260869565216,10695,46
2018-03-06,M,2,6.948787436592315e-05,0.14285714285714285,28782,14
2014-02-16,Q,2,0.00018700327255726976,0.18181818181818182,10695,11
2013-03-07,X,2,0.0001303780964797914,0.18181818181818182,15340,11
2014-03-07,Q,2,0.00018700327255726976,0.11764705882352941,10695,17
2013-02-16,R,2,0.00022696323195642307,0.07407407407407407,8812,27
2017-02-17,R,2,0.00022696323195642307,0.18181818181818182,8812,11
2017-03-05,B,2,0.00017362618282837052,0.08333333333333333,11519,24
2017-03-29,M,2,6.948787436592315e-05,0.2,28782,10
2018-03-04,B,2,0.00017362618282837052,0.08695652173913043,11519,23
