date,borough,events_count,borough_normalized_events,day_normalized_events,total_events_by_borough,total_events_by_day
2017-07-24,X,2,0.0001303780964797914,0.08,15340,25
2017-07-24,Q,2,0.00018700327255726976,0.08,10695,25
2018-07-23,X,2,0.0001303780964797914,0.06451612903225806,15340,31
2018-07-23,R,2,0.00022696323195642307,0.06451612903225806,8812,31
2018-07-23,B,2,0.00017362618282837052,0.06451612903225806,11519,31
2013-07-22,X,2,0.0001303780964797914,0.06060606060606061,15340,33
2017-07-21,R,2,0.00022696323195642307,0.047619047619047616,8812,42
2014-07-21,R,2,0.00022696323195642307,0.05555555555555555,8812,36
2016-09-06,R,2,0.00022696323195642307,0.043478260869565216,8812,46
2014-09-07,R,2,0.00022696323195642307,0.046511627906976744,8812,43
2015-01-05,Q,2,0.00018700327255726976,0.2222222222222222,10695,9
2013-09-20,Q,2,0.00018700327255726976,0.07407407407407407,10695,27
2014-09-30,R,2,0.00022696323195642307,0.038461538461538464,8812,52
2013-09-30,R,2,0.00022696323195642307,0.07407407407407407,8812,27
2013-09-30,Q,2,0.00018700327255726976,0.07407407407407407,10695,27
2017-09-29,Q,2,0.00018700327255726976,0.09090909090909091,10695,22
2013-09-29,R,2,0.00022696323195642307,0.038461538461538464,8812,52
2017-01-02,B,2,0.00017362618282837052,0.4,11519,5
2015-09-27,R,2,0.00022696323195642307,0.05405405405405406,8812,37
2017-01-02,R,2,0.00022696323195642307,0.4,8812,5
2013-09-27,R,2,0.00022696323195642307,0.05714285714285714,8812,35
2017-09-26,R,2,0.00022696323195642307,0.06451612903225806,8812,31
2017-09-26,Q,2,0.00018700327255726976,0.06451612903225806,10695,31
2017-09-26,B,2,0.00017362618282837052,0.06451612903225806,11519,31
2018-09-24,B,2,0.00017362618282837052,0.07692307692307693,11519,26
2015-09-24,X,2,0.0001303780964797914,0.07692307692307693,15340,26
2018-01-02,R,2,0.00022696323195642307,0.1111111111111111,8812,18
2016-09-23,R,2,0.00022696323195642307,0.07142857142857142,8812,28
2015-09-23,Q,2,0.00018700327255726976,0.07142857142857142,10695,28
2017-09-22,Q,2,0.00018700327255726976,0.08,10695,25
2016-09-22,Q,2,0.00018700327255726976,0.047619047619047616,10695,42
2015-09-22,B,2,0.00017362618282837052,0.07142857142857142,11519,28
2014-09-22,R,2,0.00022696323195642307,0.044444444444444446,8812,45
2018-09-21,Q,2,0.00018700327255726976,0.05714285714285714,10695,35
2017-09-21,Q,2,0.00018700327255726976,0.08,10695,25
2016-09-21,R,2,0.00022696323195642307,0.05714285714285714,8812,35
2015-01-03,R,2,0.00022696323195642307,0.08695652173913043,8812,23
2016-01-03,B,2,0.00017362618282837052,0.16666666666666666,11519,12
2013-09-21,R,2,0.00022696323195642307,0.02564102564102564,8812,78
2017-09-20,R,2,0.00022696323195642307,0.06896551724137931,8812,29
2016-09-20,Q,2,0.00018700327255726976,0.047619047619047616,10695,42
2016-09-30,R,2,0.00022696323195642307,0.08695652173913043,8812,23
